title,url,date_text,summary,date
Miami Mayor Francis Suarez files for 2024 presidential bid,https://www.nbcnews.com/politics/2024-election/miami-mayor-francis-suarez-launches-2024-presidential-bid-rcna85652,"Jun 14, 2023","GOP Miami Mayor Francis Suarez, who bills himself as a ""unifier,"" is poised to launch a long-shot bid for the Republican presidential nomination.",2023-06-14
Oakland A's stadium deal wins final legislative approval as MLB weighs Vegas move,https://www.nbcnews.com/news/sports/oakland-athletics-stadium-deal-wins-final-legislative-approval-mlb-wei-rcna89427,"Jun 14, 2023",The Oakland Athletics cleared a hurdle for their planned relocation to Las Vegas after the Nevada Legislature gave approval to public funding for a stadium.,2023-06-14
Bill Gates visits China as leaders try to revive foreign business interest,https://www.nbcnews.com/news/world/bill-gates-visits-china-microsoft-communist-party-elon-musk-economy-rcna89459,"Jun 15, 2023","BEIJING — Bill Gates says he is in Beijing, joining foreign business figures who have visited China as the ruling Party tries to revive investor interest.",2023-06-15
"Twitter is the 'most dangerous' major social media platform for LGBTQ users, GLAAD says",https://www.nbcnews.com/nbc-out/out-news/twitter-dangerous-social-media-platform-lgbtq-users-glaad-says-rcna89530,"Jun 15, 2023","All major social media platforms do poorly at protecting LGBTQ+ users from hate speech and harassment — especially those who are transgender, non-binary or gender non-conforming, the advocacy group GLAAD said Thursday. But Twitter is the worst.",2023-06-15
‘I am a fan of Modi’: Elon Musk on his friendship with India’s prime minister,https://www.nbcnews.com/news/world/-fan-modi-elon-musk-friendship-indian-prime-minister-modi-rcna90319,"Jun 21, 2023","Tesla CEO Elon Musk says he is “incredibly excited about the future of India,” adding that it has “more promise than any large country in the world.”",2023-06-21
Is Twitter ready for Europe’s new Big Tech rules? E.U. official says it has work to do,https://www.nbcnews.com/tech/tech-news/twitter-ready-europes-new-big-tech-rules-eu-official-says-work-rcna90780,"Jun 23, 2023","Twitter needs to do more work to fall in line with the European Union’s tough new digital rulebook, a top E.U. official said after overseeing a “stress test” of the company’s systems in Silicon Valley.",2023-06-23
"Lordstown Motors files for bankruptcy, sues Foxconn",https://www.nbcnews.com/business/autos/lordstown-motors-files-bankruptcy-sues-foxconn-rcna91440,"Jun 27, 2023",U.S. electric truck manufacturer Lordstown Motors filed for bankruptcy protection on Tuesday and put itself up for sale after failing to resolve a dispute over a promised investment from Taiwan’s Foxconn.,2023-06-27
Tesla sees record global deliveries after lowering prices and tapping into EV tax credits,https://www.nbcnews.com/business/autos/tesla-lower-prices-lead-to-record-global-deliveries-electric-vehicles-rcna92354,"Jul 03, 2023",Tesla reported record quarterly global auto sales after it cut prices on its autos and customers reap the benefits of renewed tax credits for purchasing its electric vehicles.,2023-07-03
NHTSA presses Tesla for more records in Autopilot safety probe,https://www.nbcnews.com/business/business-news/nhtsa-presses-tesla-records-autopilot-safety-probe-rcna92869,"Jul 06, 2023",Tesla must send extensive new records to the National Highway Traffic and Safety Administration as part of an Autopilot safety probe — or else face steep fines.,2023-07-06
The (figurative) cage match between Mark Zuckerberg and Elon Musk is on,https://www.nbcnews.com/tech/tech-news/instagram-threads-twitter-zuckerberg-musk-fight-match-rcna92840,"Jul 07, 2023","With the release of Instagram Threads, it seems Mark Zuckerberg and Elon Musk are already going head-to-head as the war between Meta and and Twitter escalates.",2023-07-07
GOP presidential candidate says he wouldn't do business with Trump,https://www.nbcnews.com/politics/2024-election/gop-presidential-candidate-burgum-says-wouldnt-business-trump-rcna93167,"Jul 09, 2023","The businessman turned North Dakota governor told ""Meet the Press"" that ""it’s important that you’re judged by the company you keep.""",2023-07-09
Elizabeth Warren urges SEC to investigate Tesla over Twitter ties and corporate governance,https://www.nbcnews.com/tech/tech-news/elizabeth-warren-urges-sec-investigate-tesla-twitter-ties-corporate-go-rcna94740,"Jul 17, 2023","Sen. Elizabeth Warren, D-Mass., sent a letter urging the U.S.",2023-07-17
"No Labels makes its case for a third-party bid, but questions remain",https://www.nbcnews.com/meet-the-press/first-read/no-labels-makes-case-third-party-bid-questions-remain-rcna94824,"Jul 18, 2023","No Labels is starting to make its case for a potential third-party presidential bid, but so far we have more questions than answers.",2023-07-18
"Chinese electric vehicle makers lead the world, rivaling U.S. pioneers",https://www.nbcnews.com/news/world/chinese-electric-vehicle-makers-lead-world-rivaling-us-pioneers-rcna88990,"Jul 18, 2023","Chinese electric vehicle companies have grown rapidly in recent years, becoming major competitors for American automakers like Tesla.",2023-07-18
Victims want Morgan Stanley to answer for ex-financial adviser's Ponzi scheme,https://www.nbcnews.com/business/business-news/victims-want-morgan-stanley-answer-ex-financial-advisors-ponzi-scheme-rcna95326,"Jul 20, 2023",A former Morgan Stanley financial adviser has been sentenced to more than seven years in prison after admitting he ran a $7 million Ponzi scheme at the firm for more than a decade.,2023-07-20
Major automakers unite to build electric vehicle charging network they say will rival Tesla’s,https://www.nbcnews.com/tech/tech-news/major-automakers-unite-build-electric-vehicle-charging-network-say-wil-rcna96460,"Jul 26, 2023",DETROIT — Seven major automakers say they’re joining forces to build a North American electric vehicle charging network that would rival Tesla’s and nearly double the number of fast-charging plugs in the U.S. and Canada.,2023-07-26
"Tesla under investigation by California attorney general over Autopilot safety, marketing",https://www.nbcnews.com/tech/tech-news/tesla-investigation-california-attorney-general-autopilot-safety-marke-rcna96534,"Jul 26, 2023","The California attorney general’s office is investigating Tesla, seeking information from customers and former employees about Autopilot safety issues and false advertising complaints, CNBC has learned.",2023-07-26
"Obamas’ chef conspiracy theories get a boost on Twitter, now X",https://www.nbcnews.com/tech/internet/evidence-free-conspiracy-theories-obamas-chef-get-boost-x-formerly-kno-rcna96255,"Jul 26, 2023","The social media platform X, newly renamed from Twitter, is hosting wild conspiracy theories without evidence claiming that there was foul play in the death of the Obamas’ personal chef on a Martha’s Vineyard pond.",2023-07-26
"‘X’ logo installed atop Twitter building, spurring San Francisco to investigate permit violation",https://www.nbcnews.com/news/us-news/x-logo-installed-twitter-building-spurring-san-francisco-investigate-p-rcna97065,"Jul 29, 2023",SAN FRANCISCO — The city of San Francisco has opened a complaint and launched an investigation into a giant “X” sign that was installed Friday on top of the downtown building formerly known as Twitter headquarters as owner Elon Musk continues his rebrand of the social media platform.,2023-07-29
Elon Musk's X Corp. sues nonprofit group that tracks hate speech,https://www.nbcnews.com/tech/tech-news/elon-musks-x-corp-sues-nonprofit-group-tracks-hate-speech-rcna97511,"Aug 01, 2023","X Corp., the parent company of the social media platform formerly known as Twitter, filed a lawsuit against a nonprofit organization that monitors hate speech.",2023-08-01
Twitter commandeers @music handle from user with half a million followers,https://www.nbcnews.com/tech/tech-news/twitter-commandeers-music-handle-user-half-million-followers-rcna98373,"Aug 05, 2023","Social network Twitter, recently rebranded as X, has commandeered the handle @music from an open-source software developer who told CNBC he created the account in 2007, and had built a community of around half a million followers there.",2023-08-05
"Musk teases MMA fight but also says he needs surgery; Zuckerberg says, 'I'm ready'",https://www.nbcnews.com/tech/tech-news/musk-says-mma-fight-will-streamed-x-zuckerberg-says-ready-rcna98452,"Aug 06, 2023","Facebook co-founder Mark Zuckerberg put a proposed mixed martial arts bout with Twitter buyer Elon Musk back in play Sunday by saying, ""I'm ready.""",2023-08-06
Tesla CFO Zach Kirkhorn steps down,https://www.nbcnews.com/business/business-news/tesla-cfo-zach-kirkhorn-steps-rcna98534,"Aug 07, 2023","Tesla’s chief financial officer, Zach Kirkhorn, stepped down from his position, effective Aug.",2023-08-07
Vietnamese EV maker VinFast is now worth more than Ford and GM after Nasdaq debut,https://www.nbcnews.com/news/world/vietnamese-ev-maker-vinfast-now-ford-gm-nasdaq-debut-rcna100350,"Aug 17, 2023","Vietnamese EV maker VinFast’s shares jumped after its U.S. trading debut, vaulting its total market value past world-leading automakers such as Ford and GM.",2023-08-17
Elon Musk and Mark Zuckerberg are among the tech execs who will attend the Senate's first AI forum,https://www.nbcnews.com/politics/congress/elon-musk-mark-zuckerberg-attend-first-senate-ai-forum-rcna102251,"Aug 28, 2023","Representatives from advocacy, civil rights, worker and creative groups will also attend the closed-door bipartisan meeting on Sept. 13.",2023-08-28
